KundenNr;Anrede;Titel;Nachname;Vorname;Geburtsdatum;Geschlecht;Telefon;Mobile;Email;Status;Strasse;Plz;Ort
176;Frau;;Bühler;Anna;09.01.1941;Weiblich;031 908 99 89;078 154 69 93;anna.buehler@example.ch;Passiv;Seestrasse 37;3000;Bern
177;Frau;;Bühler;Sabine;28.11.1974;Weiblich;061 988 93 59;077 489 75 22;sabine.buehler@example.ch;Aktiv;Dorfstrasse 3;1000;Lausanne
178;Frau;Dr.;Odermatt;Denise;07.03.1997;Weiblich;091 122 15 41;078 441 72 60;denise.odermatt@example.ch;Aktiv;Alpenblickstrasse 72;6900;Lugano
179;Frau;;Berger;Anna;21.06.1963;Weiblich;061 931 17 90;078 999 59 13;anna.berger@example.ch;Passiv;Schulstrasse 65;1200;Genf
180;Frau;;Frei;Manuela;13.06.1989;Weiblich;091 240 21 58;077 527 40 83;;Aktiv;;;
181;Herr;;Zbinden;Marc;18.08.1966;Männlich;031 694 79 97;077 983 27 49;marc.zbinden@example.ch;Aktiv;Kirchweg 84;3000;Bern
182;Frau;;Zbinden;Priska;25.07.1991;Weiblich;031 425 18 81;076 288 50 28;priska.zbinden@example.ch;Aktiv;Waldweg 118;3000;Bern
183;Frau;;Röthlisberger;Laura;10.07.1956;Weiblich;031 209 26 33;076 880 88 88;laura.roethlisberger@example.ch;Aktiv;Bergstrasse 20;6000;Luzern
184;Herr;;Dubois;Sven;08.10.1979;Männlich;044 804 71 27;079 829 93 57;sven.dubois@example.ch;Aktiv;Bahnhofstrasse 46;4000;Basel
185;Herr;;Bianchi;Samuel;06.03.1948;Männlich;;;samuel.bianchi@example.ch;Aktiv;Schulstrasse 5;3000;Bern
186;Herr;;Aebi;Hans;08.07.1974;Männlich;031 549 88 72;078 987 68 41;hans.aebi@example.ch;Aktiv;Kirchweg 9;4000;Basel
187;Herr;;Santos;Urs;11.12.1960;Männlich;081 708 78 77;076 633 23 67;urs.santos@example.ch;Aktiv;Ringstrasse 96;8400;Winterthur
188;Herr;;Röthlisberger;Urs;18.09.1977;Männlich;;;urs.roethlisberger@example.ch;Aktiv;Seestrasse 72;8400;Winterthur
189;Herr;;Brunner;Martin;13.08.1971;Männlich;031 532 47 88;076 806 76 28;martin.brunner2@example.ch;Aktiv;Feldweg 60;1200;Genf
190;Herr;Prof.;Weber;Roger;06.02.1944;Männlich;071 523 51 67;076 283 68 85;roger.weber@example.ch;Aktiv;Bachstrasse 18;2000;Neuenburg
191;Frau;;Röthlisberger;Corinne;09.02.1950;Weiblich;091 226 21 24;079 749 56 20;corinne.roethlisberger@example.ch;Aktiv;Gartenstrasse 92;1000;Lausanne
192;Frau;;Egli;Melanie;06.10.1943;Weiblich;044 886 31 52;077 266 28 32;melanie.egli@example.ch;Aktiv;Bachstrasse 49;8400;Winterthur
193;Frau;;Christen;Nicole;24.05.1969;Weiblich;031 220 26 35;076 737 42 11;nicole.christen@example.ch;Aktiv;Feldweg 81;6000;Luzern
194;Herr;;Conti;Ivan;16.10.2008;Männlich;091 587 68 62;079 181 86 86;ivan.conti@example.ch;Passiv;Kirchweg 76;4000;Basel
195;;;Widmer;Carmen;06.01.1982;;061 137 28 14;078 439 21 16;carmen.widmer@example.ch;Aktiv;Seestrasse 84;3000;Bern
196;Herr;Dr.;Fischer;Beat;22.10.1972;Männlich;081 281 68 84;078 136 21 48;beat.fischer@example.ch;Aktiv;Waldweg 101;1700;Freiburg
197;Herr;;Iten;Samuel;27.07.2000;Männlich;071 237 25 98;078 437 77 62;;Aktiv;Hauptstrasse 38;7000;Chur
198;Frau;Dr. med.;Dubois;Franziska;19.02.2001;Weiblich;;;franziska.dubois@example.ch;Aktiv;Hauptstrasse 62;3600;Thun
199;Frau;;Aebi;Livia;20.07.1972;Weiblich;;;livia.aebi@example.ch;Aktiv;Bergstrasse 68;1200;Genf
200;Frau;;Berger;Fabienne;19.10.1992;Weiblich;091 609 73 33;077 825 47 34;fabienne.berger@example.ch;Aktiv;Lindenstrasse 94;6900;Lugano
201;;;Hofmann;Martin;28.12.1993;;071 146 52 54;077 111 91 35;;Aktiv;Ringstrasse 54;4000;Basel
202;Frau;;Küng;Doris;10.05.2000;Weiblich;044 216 97 52;078 505 82 88;doris.kueng@example.ch;Aktiv;Bachstrasse 42;6900;Lugano
203;Keine Anrede;;Brunner;Sascha;22.06.1966;Divers;044 761 27 71;077 742 68 78;sascha.brunner@example.ch;Aktiv;Rosenweg 103;9000;St. Gallen
204;Frau;;Küng;Nina;02.12.1956;Weiblich;091 794 50 81;076 313 83 97;nina.kueng@example.ch;Passiv;Feldweg 73;2500;Biel/Bienne
205;Herr;;Keller;Yannick;27.05.1989;Männlich;091 647 31 83;079 291 86 24;yannick.keller@example.ch;Aktiv;Poststrasse 49;8000;Zürich
206;Frau;;Fontana;Simone;02.12.1968;Weiblich;071 998 40 57;079 949 48 37;simone.fontana@example.ch;Aktiv;Mühlestrasse 12;1200;Genf
207;Frau;;Schneider;Regula;25.01.1961;Weiblich;081 125 71 74;077 294 53 71;regula.schneider@example.ch;Passiv;Hauptstrasse 57;4000;Basel
208;Frau;;Graf;Priska;25.03.1967;Weiblich;031 310 14 68;079 830 76 24;priska.graf@example.ch;Aktiv;Lindenstrasse 87;8000;Zürich
209;;;Blanc;Thomas;15.06.1997;;091 863 49 12;078 754 36 51;thomas.blanc@example.ch;Aktiv;Dorfstrasse 67;8000;Zürich
210;Herr;;Widmer;Adrian;22.08.1968;Männlich;031 380 24 11;076 311 79 54;adrian.widmer@example.ch;Passiv;Bergstrasse 20;3000;Bern
211;Frau;;Steiner;Manuela;08.10.1972;Weiblich;031 172 49 88;078 653 66 16;manuela.steiner@example.ch;Aktiv;;;
212;Herr;;Trüb;Bruno;13.02.2002;Männlich;071 283 86 85;079 731 55 49;bruno.trueb@example.ch;Aktiv;Hauptstrasse 55;8000;Zürich
213;Herr;;Fontana;Roman;19.08.1998;Männlich;091 579 22 68;078 800 92 69;roman.fontana@example.ch;Aktiv;Hauptstrasse 105;3000;Bern
214;Herr;Prof.;Steiner;Simon;13.06.1975;Männlich;061 564 72 13;076 586 24 54;simon.steiner@example.ch;Aktiv;Poststrasse 101;3000;Bern
215;Herr;;Wyss;Reto;19.10.1964;Männlich;071 937 23 51;076 911 48 78;reto.wyss@example.ch;Passiv;Lindenstrasse 14;3000;Bern
216;Herr;Prof.;Christen;Timo;08.10.1978;Männlich;;;timo.christen@example.ch;Passiv;Gartenstrasse 62;7000;Chur
217;Herr;;Baumann;Fabian;19.07.1953;Männlich;031 277 94 95;076 857 83 72;fabian.baumann@example.ch;Aktiv;Bachstrasse 89;1000;Lausanne
218;Herr;;Hofmann;Elias;04.09.1967;Männlich;071 171 86 23;079 435 73 92;elias.hofmann@example.ch;Aktiv;Gartenstrasse 40;6000;Luzern
219;Frau;;Baumann;Karin;25.10.1991;Weiblich;031 563 78 47;079 730 83 67;karin.baumann@example.ch;Aktiv;Industriestrasse 85;8000;Zürich
220;Herr;Dr.;Graf;Kevin;23.07.1970;Männlich;044 726 75 61;077 972 47 17;;Aktiv;Hauptstrasse 75;1000;Lausanne
221;Herr;;Schmid;Ralph;18.12.2008;Männlich;061 986 13 40;079 819 85 60;ralph.schmid@example.ch;Passiv;Dorfstrasse 111;1000;Lausanne
222;Frau;Prof.;Rüegg;Melanie;18.07.1960;Weiblich;031 292 81 59;078 960 63 29;melanie.rueegg@example.ch;Aktiv;Gartenstrasse 61;4000;Basel
223;Herr;;Meyer;Marco;21.02.2007;Männlich;071 773 65 27;076 240 92 63;marco.meyer@example.ch;Aktiv;Industriestrasse 93;8000;Zürich
224;Frau;;Aebi;Livia;06.10.1954;Weiblich;081 939 67 59;078 331 33 64;livia.aebi2@example.ch;Aktiv;Lindenstrasse 55;9000;St. Gallen
225;Frau;;Bianchi;Ladina;17.12.1978;Weiblich;081 690 56 14;076 681 71 57;ladina.bianchi@example.ch;Aktiv;Mühlestrasse 119;1200;Genf
226;Herr;;Perrin;Bruno;24.03.1998;Männlich;091 639 45 69;076 635 88 21;bruno.perrin@example.ch;Aktiv;;;
227;Herr;Prof.;Blanc;Daniel;02.10.1969;Männlich;061 647 11 70;079 624 70 83;daniel.blanc@example.ch;Aktiv;;;
228;Frau;;Berger;Jasmin;06.05.1971;Weiblich;061 844 82 43;076 744 70 84;jasmin.berger@example.ch;Aktiv;Ringstrasse 96;8000;Zürich
229;Herr;;Girard;Martin;20.12.1971;Männlich;044 229 74 19;078 358 26 88;martin.girard@example.ch;Aktiv;Feldweg 63;8000;Zürich
230;Herr;;Muster;David;06.10.1994;Männlich;071 478 32 43;077 596 33 77;david.muster@example.ch;Aktiv;Industriestrasse 85;1700;Freiburg
231;Frau;;Weber;Julia;27.10.1990;Weiblich;071 888 59 40;079 843 91 31;julia.weber@example.ch;Aktiv;Rosenweg 97;3000;Bern
232;Herr;;Schmid;Yannick;02.02.1975;Männlich;071 408 70 78;077 488 97 59;yannick.schmid@example.ch;Aktiv;Alpenblickstrasse 52;3000;Bern
233;Herr;Dr. med.;Ferrari;Stefan;10.01.1953;Männlich;061 642 97 15;076 644 91 55;stefan.ferrari2@example.ch;Passiv;Sonnenweg 87;6000;Luzern
234;Keine Anrede;;Dubois;Sam;09.06.1974;Divers;091 698 60 69;077 851 96 85;sam.dubois@example.ch;Aktiv;Dorfstrasse 33;1200;Genf
235;Frau;;Sutter;Priska;18.06.1985;Weiblich;044 112 62 22;076 801 67 54;priska.sutter@example.ch;Aktiv;Bahnhofstrasse 107;8000;Zürich
236;Herr;;Moser;Adrian;01.01.1984;Männlich;091 955 37 86;076 825 25 21;adrian.moser@example.ch;Aktiv;Seestrasse 77;8000;Zürich
237;Frau;;Bühler;Petra;23.02.1985;Weiblich;071 776 19 91;079 383 64 98;petra.buehler@example.ch;Aktiv;Bergstrasse 38;3000;Bern
238;Frau;;Moser;Laura;09.02.1988;Weiblich;061 161 43 43;077 551 18 72;laura.moser@example.ch;Aktiv;Sonnenweg 50;8000;Zürich
239;Keine Anrede;;Dubois;Noel;21.03.1958;Divers;081 887 65 37;076 552 43 23;noel.dubois@example.ch;Aktiv;Dorfstrasse 19;6900;Lugano
240;Herr;;Costa;Daniel;01.08.1976;Männlich;091 100 14 95;079 372 29 99;daniel.costa@example.ch;Aktiv;Industriestrasse 84;6900;Lugano
241;Herr;;Costa;Silvan;23.09.2008;Männlich;071 964 18 79;077 103 59 98;silvan.costa@example.ch;Aktiv;Rosenweg 56;6900;Lugano
242;Frau;;Schneider;Carmen;22.06.1963;Weiblich;;;carmen.schneider@example.ch;Aktiv;Sonnenweg 8;1200;Genf
243;Frau;;Kaufmann;Karin;27.02.1965;Weiblich;031 280 80 15;079 776 34 48;karin.kaufmann@example.ch;Aktiv;Feldweg 83;9000;St. Gallen
244;Frau;;Favre;Monika;03.08.1963;Weiblich;044 297 13 85;077 600 59 18;monika.favre@example.ch;Aktiv;Kirchweg 18;6000;Luzern
245;Frau;;Bianchi;Simone;02.01.1951;Weiblich;091 143 61 25;077 926 93 95;simone.bianchi@example.ch;Aktiv;Seestrasse 44;1000;Lausanne
246;Frau;Dr.;Steiner;Esther;02.02.1979;Weiblich;044 582 89 15;077 818 93 26;esther.steiner@example.ch;Aktiv;Rosenweg 84;3000;Bern
247;;Dr.;Trüb;Andreas;15.02.1969;;044 216 73 86;077 164 35 64;andreas.trueb@example.ch;Aktiv;Waldweg 9;3000;Bern
248;Herr;;Roth;Silvan;19.11.1993;Männlich;031 882 15 85;077 443 18 25;silvan.roth@example.ch;Aktiv;Industriestrasse 42;7000;Chur
249;Herr;;Fischer;Jan;06.09.1961;Männlich;081 141 27 22;079 896 30 12;jan.fischer@example.ch;Aktiv;Schulstrasse 119;6000;Luzern
250;Frau;Dr.;Muster;Karin;03.03.2008;Weiblich;091 926 70 98;077 311 28 91;karin.muster@example.ch;Aktiv;Feldweg 54;1700;Freiburg
251;Herr;;Christen;Roger;20.03.1978;Männlich;091 611 88 21;078 456 63 10;roger.christen@example.ch;Aktiv;Ringstrasse 24;8000;Zürich
252;Frau;;Schneider;Corinne;20.02.1941;Weiblich;031 575 90 94;077 383 16 34;corinne.schneider@example.ch;Aktiv;Bachstrasse 65;1000;Lausanne
253;Herr;;Blanc;Stefan;06.08.1948;Männlich;091 472 46 36;079 357 52 88;stefan.blanc@example.ch;Aktiv;Seestrasse 7;3000;Bern
254;Frau;Dr.;Meier;Nina;02.12.1995;Weiblich;;;nina.meier@example.ch;Aktiv;Gartenstrasse 21;3600;Thun
255;Frau;Dr.;Rossi;Denise;08.02.1994;Weiblich;061 529 35 96;078 335 24 51;denise.rossi@example.ch;Aktiv;Waldweg 75;6000;Luzern
256;Herr;Prof.;Wenger;Lukas;13.04.1956;Männlich;;;lukas.wenger@example.ch;Aktiv;Hauptstrasse 61;4000;Basel
257;Frau;;Röthlisberger;Nicole;07.03.1953;Weiblich;061 239 68 34;078 376 35 52;nicole.roethlisberger@example.ch;Passiv;Gartenstrasse 50;9000;St. Gallen
258;Herr;Dr. med.;Schmid;Sven;04.03.1973;Männlich;031 878 53 38;078 718 30 91;sven.schmid@example.ch;Aktiv;Alpenblickstrasse 54;9000;St. Gallen
259;Keine Anrede;;Costa;Sascha;14.02.1979;Divers;031 705 70 69;078 114 64 41;sascha.costa@example.ch;Aktiv;Rosenweg 111;2500;Biel/Bienne
260;Herr;;Silva;Philipp;05.10.1980;Männlich;044 141 70 74;076 535 77 60;philipp.silva@example.ch;Aktiv;Bahnhofstrasse 54;1950;Sitten
261;Herr;Dr.;Marti;Andreas;03.04.1945;Männlich;091 516 37 26;078 402 40 92;;Passiv;Bahnhofstrasse 89;7000;Chur
262;Keine Anrede;;Amrein;Kim;23.03.1969;Divers;081 124 68 69;077 995 61 33;kim.amrein@example.ch;Aktiv;Waldweg 96;9000;St. Gallen
263;Frau;;Favre;Michelle;21.12.1949;Weiblich;091 440 77 14;078 536 44 99;michelle.favre@example.ch;Passiv;Hauptstrasse 50;8000;Zürich
264;Frau;;Costa;Esther;03.11.1982;Weiblich;091 472 16 24;079 474 69 89;esther.costa@example.ch;Aktiv;Seestrasse 66;1000;Lausanne
265;Herr;;Gerber;Nicolas;23.09.2000;Männlich;031 652 24 93;079 855 84 99;nicolas.gerber@example.ch;Aktiv;Industriestrasse 43;4000;Basel
266;Herr;;Roth;Simon;17.05.1963;Männlich;044 481 54 67;079 613 77 25;;Aktiv;Bergstrasse 7;6000;Luzern
267;Herr;;Blanc;Matthias;20.08.1971;Männlich;071 189 20 60;077 395 19 23;matthias.blanc@example.ch;Aktiv;Hauptstrasse 25;1000;Lausanne
268;Herr;Dr.;Perrin;Christian;05.08.1990;Männlich;044 400 63 97;077 585 54 63;christian.perrin@example.ch;Passiv;Lindenstrasse 81;4000;Basel
269;Herr;Dr.;Wyss;Peter;01.02.1984;Männlich;061 521 84 53;078 597 85 95;peter.wyss@example.ch;Aktiv;Lindenstrasse 83;4000;Basel
270;Frau;;Marti;Rahel;19.05.1950;Weiblich;061 332 71 57;078 888 16 28;rahel.marti@example.ch;Aktiv;Feldweg 22;3000;Bern
271;Herr;;Fischer;Werner;18.12.1988;Männlich;;;werner.fischer@example.ch;Aktiv;Gartenstrasse 23;1200;Genf
272;Frau;;Fischer;Nadine;02.02.1978;Weiblich;061 688 26 66;078 478 33 36;nadine.fischer@example.ch;Aktiv;;;
273;Frau;;Girard;Claudia;05.06.1968;Weiblich;031 646 48 25;076 514 73 28;claudia.girard@example.ch;Aktiv;Alpenblickstrasse 70;8400;Winterthur
274;Frau;Dr.;Steiner;Laura;18.12.2008;Weiblich;091 402 70 47;077 918 82 66;laura.steiner@example.ch;Aktiv;Poststrasse 83;6900;Lugano
275;Herr;;Egli;Christian;05.01.1947;Männlich;044 511 89 38;079 465 21 51;christian.egli@example.ch;Aktiv;Dorfstrasse 40;7000;Chur
276;Herr;;Silva;Roman;26.04.1941;Männlich;044 651 67 96;076 624 60 34;roman.silva@example.ch;Aktiv;Kirchweg 3;1200;Genf
277;Frau;;Santos;Livia;22.01.1943;Weiblich;091 974 64 57;079 481 11 46;livia.santos@example.ch;Aktiv;Sonnenweg 19;1000;Lausanne
278;Herr;;Marti;Marc;24.04.1997;Männlich;071 395 30 64;079 242 85 86;marc.marti@example.ch;Aktiv;Mühlestrasse 103;6000;Luzern
279;Herr;;Graf;Michael;11.09.1948;Männlich;071 190 10 62;078 524 32 81;michael.graf@example.ch;Aktiv;Waldweg 97;8000;Zürich
280;Herr;;Schwarz;Sven;06.04.1991;Männlich;;;sven.schwarz@example.ch;Aktiv;Feldweg 71;8400;Winterthur
281;Frau;;Arnold;Simone;18.08.1970;Weiblich;044 257 43 48;079 227 93 95;simone.arnold@example.ch;Aktiv;Schulstrasse 4;9000;St. Gallen
282;Frau;;Gerber;Jasmin;21.12.1946;Weiblich;061 604 18 86;078 695 71 82;jasmin.gerber@example.ch;Aktiv;Bahnhofstrasse 16;4000;Basel
283;Herr;;Favre;David;27.12.1948;Männlich;091 689 12 43;077 695 17 28;david.favre@example.ch;Aktiv;Rebweg 66;3000;Bern
284;Herr;Dr.;Berger;Marco;09.01.1988;Männlich;061 149 47 47;076 626 34 90;;Aktiv;Mühlestrasse 82;1000;Lausanne
285;Herr;;Santos;Andreas;11.09.1987;Männlich;091 814 98 56;076 647 84 55;andreas.santos@example.ch;Aktiv;Feldweg 35;1200;Genf
286;Frau;;Meyer;Sandra;12.05.1942;Weiblich;031 204 37 29;077 951 34 81;sandra.meyer@example.ch;Aktiv;Mühlestrasse 44;6900;Lugano
287;Frau;;Baur;Priska;15.07.1994;Weiblich;031 117 71 54;078 807 56 27;priska.baur@example.ch;Aktiv;Dorfstrasse 105;8000;Zürich
288;Frau;;Ferrari;Livia;23.03.1965;Weiblich;044 327 26 98;077 804 39 49;livia.ferrari@example.ch;Passiv;Bahnhofstrasse 96;1200;Genf
289;Herr;Dr.;Weber;Marco;25.12.1954;Männlich;044 179 12 71;079 143 35 23;marco.weber@example.ch;Aktiv;;;
290;Herr;Dr.;Silva;Dominik;04.08.2001;Männlich;061 783 11 22;076 716 36 85;dominik.silva@example.ch;Aktiv;Seestrasse 9;4000;Basel
291;Frau;Dr. med.;Girard;Regula;03.01.1964;Weiblich;061 460 30 74;077 617 82 18;regula.girard@example.ch;Passiv;Bergstrasse 75;3000;Bern
292;Herr;;Schwarz;Timo;07.09.2007;Männlich;;;timo.schwarz@example.ch;Aktiv;Feldweg 22;3000;Bern
293;Frau;;Muster;Esther;17.04.1996;Weiblich;081 289 66 96;076 285 55 58;esther.muster2@example.ch;Passiv;Rebweg 90;9000;St. Gallen
294;Herr;;Frei;Dominik;25.02.1956;Männlich;044 632 27 73;078 821 46 81;dominik.frei@example.ch;Aktiv;Dorfstrasse 60;1200;Genf
295;Frau;;Roth;Karin;13.02.1945;Weiblich;091 419 97 66;077 667 62 47;karin.roth@example.ch;Aktiv;Alpenblickstrasse 77;1200;Genf
296;Keine Anrede;;Brunner;Sam;22.08.2000;Divers;091 603 96 23;079 548 76 94;sam.brunner@example.ch;Aktiv;Gartenstrasse 2;1000;Lausanne
297;Frau;;Steiner;Barbara;23.07.1958;Weiblich;031 166 56 35;078 305 86 61;barbara.steiner@example.ch;Aktiv;Dorfstrasse 95;1700;Freiburg
298;Herr;Dr.;Egli;Philipp;25.05.1945;Männlich;091 509 55 70;079 596 75 45;philipp.egli@example.ch;Aktiv;Waldweg 35;2000;Neuenburg
299;Herr;;Huber;Werner;16.05.1993;Männlich;031 130 22 16;076 610 96 13;werner.huber@example.ch;Aktiv;Schulstrasse 81;6900;Lugano
300;Keine Anrede;;Santos;Sam;10.03.1967;Divers;081 885 73 69;077 400 94 73;sam.santos@example.ch;Aktiv;Hauptstrasse 85;8000;Zürich
